Sample,Lat,Long,Age,STD,Ref
03Bull,63.3455,-149.5565,60.42,9.51,Benowitz et al 2022
89AJM34,60.05472,-159.2578,29.7,4.2,Box et al 1993
89ASB101,60.17833,-159.1278,47.5,6.9,Box et al 1993
88ML22b,60.09306,-160.6,66.6,4.6,Box et al 1993
89ASB38,60.08833,-159.2689,90.5,17,Box et al 1993
H1-10Z,57.5261111111111,-153.507777777778,25,2,Clendenen et al 2003
TS-7-87,57.1902777777778,-153.506111111111,28,2,Clendenen et al 2003
P-5-87,57.8713888888889,-152.636388888889,29,3,Clendenen et al 2003
TS-9-87,57.185,-153.503888888889,30,2,Clendenen et al 2003
TS-4-87,57.1952777777778,-153.507777777778,32,2,Clendenen et al 2003
TLP-95,57.6622222222222,-152.973611111111,34,2,Clendenen et al 2003
TL-2-87,57.6580555555556,-152.975833333333,34,2,Clendenen et al 2003
TS-1-87,57.1988888888889,-153.508888888889,35,2,Clendenen et al 2003
P-5-87,57.8713888888889,-152.636388888889,36,4,Clendenen et al 2003
P-2-87,57.9191666666667,-152.823611111111,40,5,Clendenen et al 2003
P-1-87,57.9416666666667,-153.074444444444,44,4,Clendenen et al 2003
M-19-88,58.2177777777778,-153.002222222222,53,5,Clendenen et al 2003
M-25-88,58.2344444444444,-153.048333333333,55,6,Clendenen et al 2003
M2-1Z,58.203611,-153.211666666667,64,4,Clendenen et al 2003
V-3-87,60.9841666666667,-149.551111111111,66,7,Clendenen et al 2003
M-26-88,58.24,-153.038333333333,77,10,Clendenen et al 2003
KL1,55.338,-131.4504,24.3,2.2,Cook et al 1991
MB1,55.2599,-131.244,33.9,2.1,Cook et al 1991
LT1,55.3263,-131.4846,34.1,4,Cook et al 1991
MB2,55.2526,-131.2976,35,2.2,Cook et al 1991
LT2,55.3202,-131.4532,45,5.5,Cook et al 1991
LT3,55.3021,-131.4816,51.3,5.7,Cook et al 1991
90ADb6B,63.7725,-141.102,12.48,0.63,Dusel-Bacon and Murphy 2001
90ET11,63.9386666666667,-141.055666666667,13.15,0.65,Dusel-Bacon and Murphy 2001
90ADb24,63.8351666666667,-141.542833333333,13.34,0.45,Dusel-Bacon and Murphy 2001
91ADb36D,64.0911666666667,-143.222333333333,13.54,0.25,Dusel-Bacon and Murphy 2001
91ADb35,64.1506666666667,-143.122666666667,13.86,0.23,Dusel-Bacon and Murphy 2001
91ADb10,64.1681666666667,-141.555333333333,14.11,0.14,Dusel-Bacon and Murphy 2001
91ADb26,64.2338333333333,-143.635333333333,14.17,0.27,Dusel-Bacon and Murphy 2001
79AFr4010,64.6246666666667,-145.669666666667,14.34,0.21,Dusel-Bacon and Murphy 2001
90ADb17A,63.8596666666667,-141.505666666667,14.68,0,Dusel-Bacon and Murphy 2001
73AWr88A,64.6735,-146.925,15.11,0.15,Dusel-Bacon and Murphy 2001
91ADb3,63.9885,-141.285666666667,15.19,0.46,Dusel-Bacon and Murphy 2001
90ADb28,63.8088333333333,-142.6015,114.87,0.22,Dusel-Bacon and Murphy 2001
118A5,64.09184,-143.0378,9.5,0.7,Dusel-bacon et al 2016
09AD-343,64.03307,-143.22725,18.6,2.3,Dusel-bacon et al 2016
150A5,64.02187,-143.09274,27.1,1.3,Dusel-bacon et al 2016
129A5,64.11456,-143.01266,28.6,1.5,Dusel-bacon et al 2016
09AD-264,64.2058,-142.8089,29.2,2.1,Dusel-bacon et al 2016
