Sample,Lat,Long,Age,STD,Ref
07jb14,63.6,-147.18,6.2,0.7,Perry 2014 Thesis
07jb35,63.53,-147.73,6.2,1,Perry 2014 Thesis
07jb32,63.51,-147.73,6.3,0.7,Perry 2014 Thesis
07jb31,63.51,-147.77,6.4,1.7,Perry 2014 Thesis
05jb01,63.62,-146.89,6.7,1.9,Perry 2014 Thesis
07jb34,63.52,-147.73,6.8,0.9,Perry 2014 Thesis
07jb26,63.59,-147.35,7.1,0.7,Perry 2014 Thesis
07jb42,63.5,-147.92,7.1,1.7,Perry 2014 Thesis
D-69,62.7305,-151.374333333333,7.5,0.5,Perry 2014 Thesis
D-35,63.0751666666667,-151.063333333333,7.7,0.7,Perry 2014 Thesis
07jb23,63.54,-147.32,8.5,1.2,Perry 2014 Thesis
07jb04,63.61,-147.27,8.6,1,Perry 2014 Thesis
D-33,63.076,-151.0595,9.1,0.7,Perry 2014 Thesis
07jb02,63.61,-147.28,9.3,1.2,Perry 2014 Thesis
D-29,63.078,-151.050666666667,9.7,0.9,Perry 2014 Thesis
07jb48,63.56,-147.85,9.8,3,Perry 2014 Thesis
08jb03BAL,63.62,-146.925,10.5,1.8,Perry 2014 Thesis
D-31,63.077,-151.055166666667,11.2,0.7,Perry 2014 Thesis
07jb38,63.55,-147.7,12.5,1.7,Perry 2014 Thesis
D-37,63.0761666666667,-151.042666666667,13,0.7,Perry 2014 Thesis
08jb43RAP,63.4934,-146.42,13.2,2,Perry 2014 Thesis
08jb47RAP,63.5007,-146.503,13.5,1.5,Perry 2014 Thesis
08jb03RAP,63.4827,-146.043,14.1,1.1,Perry 2014 Thesis
08jb11RAP,63.4494,-146.5397,14.4,1.5,Perry 2014 Thesis
08jb21BAL,63.617,-146.898,14.6,2,Perry 2014 Thesis
08jb20BAL,63.606,-146.949,14.8,1.6,Perry 2014 Thesis
08jb16BAL,63.6,-146.938,15,2.3,Perry 2014 Thesis
08jb02P,63.467,-148.735,15.2,1.8,Perry 2014 Thesis
08jb01MIG,63.59,-146.227,15.9,2.5,Perry 2014 Thesis
D-39,63.0703333333333,-151.022,16.1,0.8,Perry 2014 Thesis
08jb34RAP,63.507,-146.555,16.4,1.4,Perry 2014 Thesis
08jb01RAP,63.475,-146.002,16.4,2,Perry 2014 Thesis
07jb46,63.55,-147.85,20,4.9,Perry 2014 Thesis
08jb12RAP,63.4621,-146.554,21.1,2,Perry 2014 Thesis
07jb59,63.23,-145.34,21.3,2.5,Perry 2014 Thesis
08jb28RAP,63.5148,-146.614,22.3,2.5,Perry 2014 Thesis
08jb23RAP,63.4492,-146.452,23.9,1.7,Perry 2014 Thesis
07jb61,63.23,-145.33,29.2,2.4,Perry 2014 Thesis
08jb30RAP,63.516,-146.685,29.7,4.2,Perry 2014 Thesis
08jb16RAP,63.4635,-146.503,30.1,1.5,Perry 2014 Thesis
08jb09RAP,63.4345,-146.528,30.6,2.7,Perry 2014 Thesis
07jb60,63.23,-145.35,35,3,Perry 2014 Thesis
08jb45RAP,63.4723,-146.431,35.3,1.8,Perry 2014 Thesis
08jb05RAP,63.4337,-146.541,35.4,2.6,Perry 2014 Thesis
08jb26RAP,63.5193,-146.601,40.4,7.8,Perry 2014 Thesis
08jb13BAL,63.648,-147.091,40.9,5.9,Perry 2014 Thesis
07jb52,63.49,-147.89,42.8,2.4,Perry 2014 Thesis
07jb44,63.52,-147.9,43.1,16.2,Perry 2014 Thesis
EAR 10-06,61.5242,-147.4049,7.5,1.7,Riccio et al 2014
EAR 10-05,61.5231,-147.434066666667,8.9,1.6,Riccio et al 2014
EAR 10-24,61.4849166666667,-147.184866666667,27.6,1.8,Riccio et al 2014
EAR 10-10,63.4140666666667,-146.7815,28.3,2.3,Riccio et al 2014
EAR 10-22,61.4892833333333,-147.169883333333,31.7,2.2,Riccio et al 2014
EAR 10-27,61.4719833333333,-147.1682,32.5,2.7,Riccio et al 2014
EAR 10-15,63.43765,-147.100516666667,33.2,3.3,Riccio et al 2014
EAR 10-08,63.4143833333333,-147.059166666667,33.3,3.3,Riccio et al 2014
EAR 10-21,61.4875,-147.166533333333,34.3,2.5,Riccio et al 2014
EAR 10-16,63.43515,-147.104,35.5,2.4,Riccio et al 2014
EAR 10-28,61.4666166666667,-147.22425,38,2.3,Riccio et al 2014
EAR 10-23,61.48745,-147.179416666667,38.3,2.4,Riccio et al 2014
EAR 10-26,61.4779666666667,-147.1514,38.4,4,Riccio et al 2014
EAR 10-17,63.4299166666667,-147.123683333333,39,2.7,Riccio et al 2014
EAR 10-19,63.43055,-147.133066666667,39.7,2.3,Riccio et al 2014
EAR 10-20,63.4298666666667,-147.13115,39.9,2.4,Riccio et al 2014
EAR 10-25,61.4826666666667,-147.1908,41.6,4.1,Riccio et al 2014
EAR 10-18,63.42825,-147.129666666667,42.7,2.5,Riccio et al 2014
02CH31,60.2855,-141.764,3.8,0.9,Spotila et al 2004
01CH48,60.7911,-142.6368,5,2.4,Spotila et al 2004
01CH43,60.1809,-141.1756,5.7,2.3,Spotila et al 2004
01CH49,60.6793,-142.534,13.3,1.3,Spotila et al 2004
99CH2,60.7203,-142.5435,13.8,1.4,Spotila et al 2004
01CH45,60.6572,-142.4146,14.5,1.3,Spotila et al 2004
01CH47,60.7672,-142.6065,27.3,2.7,Spotila et al 2004
05King,61.78,-148.68,31.23,4.92,Terhune et al 2019
03King,61.92,-148.7,34.2,5.92,Terhune et al 2019
01Devil,62.69,-150.24,41.05,12.79,Terhune et al 2019
06Sov,62.15,-148.53,42.63,4.26,Terhune et al 2019
04King,61.96,-148.76,44.03,5.53,Terhune et al 2019
01King,61.84,-148.64,44.8,5,Terhune et al 2019
10Sov,62.12,-148.6,45.08,6.07,Terhune et al 2019
02Sov,62.19,-148.49,48.31,7.9,Terhune et al 2019
01Sov,62.19,-148.46,49.82,8.09,Terhune et al 2019
03Sov,62.18,-148.51,51.2,6.92,Terhune et al 2019
05Talk,62.03,-148.69,51.21,6.07,Terhune et al 2019
12Sov,62.12,-148.63,51.96,8.31,Terhune et al 2019
02King,61.9,-148.65,52.79,3.06,Terhune et al 2019
14Talk,62.08,-148.82,55.03,7.14,Terhune et al 2019
08Sov,62.12,-148.58,56.73,7.09,Terhune et al 2019
13Talk,62.02,-148.74,57.8,5.72,Terhune et al 2019
01Trop,61.78,-149.11,58.23,4.22,Terhune et al 2019
11Sov,62.12,-148.62,58.34,13.38,Terhune et al 2019
01Chic,61.88,-148.43,63,20.9,Terhune et al 2019
07Talk,62.04,-148.68,63.62,7.24,Terhune et al 2019
13Sov,62.12,-148.63,74.23,10.39,Terhune et al 2019
14ARW-45,63.2321,-145.5566,13.75,1.67,Waldien et al 2018
14ARW-52,63.2675,-145.4022,13.85,1.32,Waldien et al 2018
14ARW-34B,63.2643,-145.623,14.03,1.32,Waldien et al 2018
14ARW-50,63.2483,-145.4094,14.34,1.76,Waldien et al 2018
81COL,63.2706,-145.2977,14.66,1.03,Waldien et al 2018
01CAN,63.3369,-145.6084,14.68,0.99,Waldien et al 2018
17AK01,63.392,-145.7414,5.6,0.8,Warfel 2018 Thesis
17AK09,63.2393,-145.2824,6.8,0.6,Warfel 2018 Thesis
17AK06,63.2693,-145.2131,7.9,1.3,Warfel 2018 Thesis
17AK13,63.2419,-145.2342,8.3,1,Warfel 2018 Thesis
17AK08,63.2462,-145.2565,12.6,2.5,Warfel 2018 Thesis
63CONG,63.2159,-144.6935,13,7.7,Warfel 2018 Thesis
08CONG,63.239,-145.2528,13.9,2.2,Warfel 2018 Thesis
17AK07,63.2494,-145.2559,15.7,2.1,Warfel 2018 Thesis
46CONG,63.2201,-144.8842,22.7,5.1,Warfel 2018 Thesis
17AK11,63.235,-145.2893,28.3,6,Warfel 2018 Thesis
17AK15,63.2447,-144.9818,37.7,10.4,Warfel 2018 Thesis
DR001,63.2159,-144.3,40.7,2.4,Warfel 2018 Thesis
17AK3B,63.2893,-145.2391,41,10.4,Warfel 2018 Thesis
10KIM,63.175,-144.7293,60.6,12,Warfel 2018 Thesis
02KIM,63.1571,-144.6592,75.2,8.4,Warfel 2018 Thesis
PF01DON,63.6762,-145.8817,89.9,10.3,Warfel 2018 Thesis
